Length	Percentile	Value
16	0	0.6211180124223602
16	1	0.6211180124223602
16	2	0.6211180124223602
16	3	0.6211180124223602
16	4	0.6211180124223602
16	5	0.6211180124223602
16	6	0.6211180124223602
16	7	0.6211180124223602
16	8	0.6211180124223602
16	9	0.6211180124223602
16	10	0.6211180124223602
16	11	0.6211180124223602
16	12	0.6211180124223602
16	13	0.6211180124223602
16	14	0.6211180124223602
16	15	0.6211180124223602
16	16	0.6211180124223602
16	17	0.6211180124223602
16	18	0.6211180124223602
16	19	0.6211180124223602
16	20	0.6211180124223602
16	21	0.6211180124223602
16	22	0.6211180124223602
16	23	0.6211180124223602
16	24	0.6211180124223602
16	25	0.6211180124223602
16	26	0.6211180124223602
16	27	0.6211180124223602
16	28	0.6211180124223602
16	29	0.6211180124223602
16	30	0.6211180124223602
16	31	0.6211180124223602
16	32	0.6211180124223602
16	33	0.6211180124223602
16	34	0.6211180124223602
16	35	0.6211180124223602
16	36	0.6211180124223602
16	37	0.6211180124223602
16	38	0.6211180124223602
16	39	0.6211180124223602
16	40	0.6211180124223602
16	41	0.6211180124223602
16	42	0.6211180124223602
16	43	0.6211180124223602
16	44	0.6211180124223602
16	45	0.6211180124223602
16	46	0.6211180124223602
16	47	0.6211180124223602
16	48	0.6211180124223602
16	49	0.6211180124223602
16	50	0.6211180124223602
16	51	0.6211180124223602
16	52	0.6211180124223602
16	53	0.6211180124223602
16	54	0.6211180124223602
16	55	0.6211180124223602
16	56	0.6211180124223602
16	57	0.6211180124223602
16	58	0.6211180124223602
16	59	0.6211180124223602
16	60	0.6211180124223602
16	61	0.6211180124223602
16	62	0.6211180124223602
16	63	0.6211180124223602
16	64	0.6211180124223602
16	65	0.6211180124223602
16	66	0.6211180124223602
16	67	0.6211180124223602
16	68	0.6211180124223602
16	69	0.6211180124223602
16	70	0.6211180124223602
16	71	0.6211180124223602
16	72	0.6211180124223602
16	73	0.6211180124223602
16	74	0.6211180124223602
16	75	0.6211180124223602
16	76	0.6211180124223602
16	77	0.6211180124223602
16	78	0.6211180124223602
16	79	0.6211180124223602
16	80	0.6211180124223602
16	81	0.6211180124223602
16	82	1.2422360248447204
16	83	1.2422360248447204
16	84	1.2422360248447204
16	85	1.2422360248447204
16	86	1.2422360248447204
16	87	1.2422360248447204
16	88	1.2422360248447204
16	89	1.2422360248447204
16	90	1.2422360248447204
16	91	1.2422360248447204
16	92	1.8633540372670807
16	93	1.8633540372670807
16	94	1.8633540372670807
16	95	2.484472049689441
16	96	3.1055900621118013
16	97	3.7267080745341614
16	98	5.590062111801243
16	99	11.801242236024844
16	100	93.16770186335404
17	0	0.6211180124223602
17	1	0.6211180124223602
17	2	0.6211180124223602
17	3	0.6211180124223602
17	4	0.6211180124223602
17	5	0.6211180124223602
17	6	0.6211180124223602
17	7	0.6211180124223602
17	8	0.6211180124223602
17	9	0.6211180124223602
17	10	0.6211180124223602
17	11	0.6211180124223602
17	12	0.6211180124223602
17	13	0.6211180124223602
17	14	0.6211180124223602
17	15	0.6211180124223602
17	16	0.6211180124223602
17	17	0.6211180124223602
17	18	0.6211180124223602
17	19	0.6211180124223602
17	20	0.6211180124223602
17	21	0.6211180124223602
17	22	0.6211180124223602
17	23	0.6211180124223602
17	24	0.6211180124223602
17	25	0.6211180124223602
17	26	0.6211180124223602
17	27	0.6211180124223602
17	28	0.6211180124223602
17	29	0.6211180124223602
17	30	0.6211180124223602
17	31	0.6211180124223602
17	32	0.6211180124223602
17	33	0.6211180124223602
17	34	0.6211180124223602
17	35	0.6211180124223602
17	36	0.6211180124223602
17	37	0.6211180124223602
17	38	0.6211180124223602
17	39	0.6211180124223602
17	40	0.6211180124223602
17	41	0.6211180124223602
17	42	0.6211180124223602
17	43	0.6211180124223602
17	44	0.6211180124223602
17	45	0.6211180124223602
17	46	0.6211180124223602
17	47	0.6211180124223602
17	48	0.6211180124223602
17	49	0.6211180124223602
17	50	0.6211180124223602
17	51	0.6211180124223602
17	52	0.6211180124223602
17	53	0.6211180124223602
17	54	0.6211180124223602
17	55	0.6211180124223602
17	56	0.6211180124223602
17	57	0.6211180124223602
17	58	0.6211180124223602
17	59	0.6211180124223602
17	60	0.6211180124223602
17	61	0.6211180124223602
17	62	0.6211180124223602
17	63	0.6211180124223602
17	64	0.6211180124223602
17	65	0.6211180124223602
17	66	0.6211180124223602
17	67	0.6211180124223602
17	68	0.6211180124223602
17	69	0.6211180124223602
17	70	0.6211180124223602
17	71	0.6211180124223602
17	72	0.6211180124223602
17	73	0.6211180124223602
17	74	0.6211180124223602
17	75	0.6211180124223602
17	76	0.6211180124223602
17	77	0.6211180124223602
17	78	0.6211180124223602
17	79	0.6211180124223602
17	80	0.6211180124223602
17	81	1.2422360248447204
17	82	1.2422360248447204
17	83	1.2422360248447204
17	84	1.2422360248447204
17	85	1.2422360248447204
17	86	1.2422360248447204
17	87	1.2422360248447204
17	88	1.2422360248447204
17	89	1.2422360248447204
17	90	1.2422360248447204
17	91	1.8633540372670807
17	92	1.8633540372670807
17	93	1.8633540372670807
17	94	2.484472049689441
17	95	2.484472049689441
17	96	3.1055900621118013
17	97	3.7267080745341614
17	98	5.590062111801243
17	99	12.422360248447205
17	100	92.54658385093167
18	0	0.6211180124223602
18	1	0.6211180124223602
18	2	0.6211180124223602
18	3	0.6211180124223602
18	4	0.6211180124223602
18	5	0.6211180124223602
18	6	0.6211180124223602
18	7	0.6211180124223602
18	8	0.6211180124223602
18	9	0.6211180124223602
18	10	0.6211180124223602
